 Symbol , Market , Index/Industry/Sector , Security Type 
AQUA, SET, TRANS, Common Shares
INGRS, SET, TRANS, Common Shares
PAF, SET, TRANS, Common Shares
MACO, SET, TRANS, Common Shares
GTB, SET, TRANS, Common Shares
RICHY, SET, TRANS, Common Shares
SKE, SET, TRANS, Common Shares
PPM, SET, TRANS, Common Shares
ML, SET, TRANS, Common Shares
ALLA, SET, TRANS, Common Shares
SYNTEC, SET, TRANS, Common Shares
BJCHI, SET, TRANS, Common Shares
PSTC, SET, TRANS, Common Shares
FSS, SET, TRANS, Common Shares
RSP, SET, TRANS, Common Shares
CPI, SET, TRANS, Common Shares
SSSC, SET, TRANS, Common Shares
TPOLY, SET, TRANS, Common Shares
LEE, SET, TRANS, Common Shares
IFS, SET, TRANS, Common Shares
NVD, SET, TRANS, Common Shares
SC, SET, TRANS, Common Shares
UV, SET, TRANS, Common Shares
TRU, SET, TRANS, Common Shares
